Date,No of Lots,VIX,Max Debit,Profit,Exit,NAV,nf nav,Open,High,Low,Close,Volume,Nifty_pct,Nifty_HOL
21/10/20,10,22.18,119750,-19200,2:00:00,1069803,394803,11958.55,12018.65,11775.75,11937.65,0,0.014894856,685931.0486
22/10/20,10,23.25,126700,19500,2:30:00,1089303,414303,11890,11939.55,11823.45,11896.45,0,-0.003451266,683563.7184
22/10/20,10,23.25,126700,19500,2:30:00,1108803,433803,11890,11939.55,11823.45,11896.45,0,0,683563.7184
23/10/20,10,22.18,77600,6400,3:25:00,1115203,440203,11957.9,11974.55,11908.75,11930.35,0,0.00284959,685511.5945
27/10/20,10,22.39,93250,-14100,1:30:00,1101103,426103,11807.1,11899.05,11723,11889.4,0,-0.003432422,683158.6292
29/10/20,10,23.65,112400,18700,1:05:00,1119803,444803,11633.3,11744.15,11606.45,11670.8,0,-0.018386125,670597.9889
30/10/20,10,22.39,41600,7440,10:35:00,1127243,452243,11678.45,11748.95,11535.45,11642.4,0,-0.002433424,668966.14
04/11/20,10,23.05,55000,8450,11:25:00,1135693,460693,11783.35,11929.65,11756.4,11908.5,0,0.022856112,684256.1051
05/11/20,10,21.65,85400,-4200,2:30:00,1131493,456493,12062.4,12131.1,12027.6,12120.3,0,0.017785615,696426.0209
06/11/20,10,23.05,22000,4300,9:50:00,1135793,460793,12156.65,12280.4,12131.85,12263.55,0,0.011819014,704657.0901
11/11/20,10,21.35,57300,-14100,11:15:00,1121693,446693,12680.6,12769.75,12571.1,12749.15,0,0.039597017,732559.409
11/11/20,10,21.35,57300,-14100,11:15:00,1107593,432593,12680.6,12769.75,12571.1,12749.15,0,0,732559.409
12/11/20,10,21.35,63400,12775,2:00:00,1120368,445368,12702.15,12741.15,12624.85,12690.8,0,-0.004576776,729206.6489
13/11/20,10,19.7,10600,1650,10:05:00,1122018,447018,12659.7,12735.95,12607.7,12719.95,0,0.00229694,730881.5924
18/11/20,10,19.5,103700,16100,1:10:00,1138118,463118,12860.1,12948.85,12819.35,12938.25,0,0.017162017,743424.9949
19/11/20,10,19.25,115000,17900,1:55:00,1156018,481018,12839.5,12963,12745.75,12771.7,0,-0.012872684,733855.12
20/11/20,10,19.6,69900,11600,3:10:00,1167618,492618,12813.4,12892.45,12730.25,12859.05,0,0.00683934,738874.2048
25/11/20,10,21.15,93800,-14200,10:35:00,1153418,478418,13130,13145.85,12833.65,12858.4,0,-5.05E-05,738836.8561
26/11/20,10,21.15,102000,16900,2:00:00,1170318,495318,12906.45,13018,12790.4,12987,0,0.010001244,746226.1441
27/11/20,10,20.18,53800,8100,12:00:00,1178418,503418,13012.05,13035.3,12914.3,12968.95,0,-0.001389851,745189.0006
02/12/20,10,18.5,76700,11800,3:25:00,1190218,515218,13121.4,13128.5,12983.55,13113.75,0,0.011165129,753509.132
03/12/20,10,18.5,89600,11600,2:30:00,1201818,526818,13215.3,13216.6,13107.9,13133.9,0,0.001536555,754666.9403
04/12/20,10,18.5,39900,6100,1:45:00,1207918,532918,13177.4,13280.05,13152.85,13258.55,0,0.009490707,761829.2633
09/12/20,10,18.4,57250,8700,1:45:00,1216618,541618,13458.1,13548.9,13449.6,13529.1,0,0.0204057,777374.923
10/12/20,10,18.4,69900,11400,1:20:00,1228018,553018,13488.5,13503.55,13399.3,13478.3,0,-0.003754869,774455.9819
11/12/20,10,18.4,30250,4530,10:15:00,1232548,557548,13512.3,13579.35,13402.85,13513.85,0,0.002637573,776498.6661
11/12/20,10,18.4,30250,4530,10:15:00,1237078,562078,13512.3,13579.35,13402.85,13513.85,0,0,776498.6661
16/12/20,10,19.1,47300,7220,2:45:00,1244298,569298,13663.1,13692.35,13606.45,13682.7,0,0.012494589,786200.6977
17/12/20,10,19.1,55200,2450,2:30:00,1246748,571748,13713.55,13773.25,13673.55,13740.7,0,0.004238929,789533.347
18/12/20,10,19.1,8500,-2400,9:35:00,1244348,569348,13764.4,13772.85,13658.6,13760.55,0,0.001444613,790673.9175
24/12/20,10,20.25,127200,9900,2:30:00,1254248,579248,13672.15,13771.75,13626.9,13749.25,0,-0.000821188,790024.6255
30/12/20,10,21.25,102300,16400,1:50:00,1270648,595648,13980.9,13997,13864.95,13981.95,0,0.01692456,803395.4443
31/12/20,10,21.25,120300,22100,1:30:00,1292748,617748,13970,14024.85,13936.45,13981.75,0,-1.43E-05,803383.9524
