Date,No of Lots,VIX,Max Debit,Exit,Profit,NAV,bn nav,Open,High,Low,Close,Volume,Nifty_pct,Nifty_HOL
23/12/20,10,29.2,158750,3:25:00,18400,901019,226019,29560.75,29941.4,29446,29883.3,0,-0.031242858,651601.8802
24/12/20,10,22.7,175000,2:30:00,23875,924894,249894,30071.65,30545.85,30007.8,30402.2,0,0.017364213,662916.4343
31/12/20,10,28.3,176600,2:30:00,49730,974624,299624,31295.9,31409.5,31088.1,31264.05,0,0.028348277,681708.9733
31/12/20,10,28.3,176600,2:30:00,49730,1024354,349354,31295.9,31409.5,31088.1,31264.05,0,0,681708.9733
06/01/21,10,27.5,132250,3:25:00,11200,1035554,360554,31839.95,31982.3,31548.15,31797.9,0,0.017075523,693349.5105
07/01/21,10,26.8,151175,2:30:00,19575,1055129,380129,32129.8,32177.4,31911.5,31956,0,0.004972026,696796.8626
13/01/21,10,29.1,106900,3:25:00,15800,1070929,395929,32546.6,32683.5,32148.25,32574.65,0,0.019359432,710286.4539
14/01/21,10,28.7,131800,2:30:00,11950,1082879,407879,32526.7,32718.95,32442.35,32519.75,0,-0.00168536,709089.3658
21/01/21,10,22.7,233250,2:30:00,10260,1093139,418139,32732.8,32842.3,31985.55,32186.9,0,-0.010235319,701831.6102
28/01/21,10,18.4,219500,2:30:00,-10400,1082739,407739,29812.3,30464.4,29687.7,30358.3,0,-0.056811933,661959.1999
03/02/21,10,30.6,102000,3:25:00,16200,1098939,423939,34555.6,34908.05,34011.9,34758.45,0,0.144940593,757903.9588
04/02/21,10,29,147975,2:30:00,-14180,1084759,409759,34548.9,35413.15,34238.9,35344.8,0,0.016869279,770689.2524
10/02/21,10,34.5,89000,2:35:00,29200,1113959,438959,36042.35,36227.2,35428.15,35783.1,0,0.012400693,780246.3329
11/02/21,10,30,118750,2:30:00,27280,1141239,466239,35687.25,36009.45,35573.3,35752.1,0,-0.000866331,779570.3815
17/02/21,10,27.5,215000,3:25:00,11250,1152489,477489,37041.95,37331.45,36764.25,36910.95,0,0.032413481,804838.9709
24/02/21,10,29.8,182750,3:25:00,-8100,1144389,469389,35205.4,36567.65,35060.65,36452.3,0,-0.012425852,794838.161
25/02/21,10,29.5,191050,2:30:00,48730,1193119,518119,36763.15,37232.2,36494,36549,0,0.002652782,796946.6933
03/03/21,10,30.1,159675,3:25:00,-180,1192939,517939,35754.45,36455.15,35570.55,36368.05,0,-0.004950888,793001.0996
04/03/21,10,32.5,192100,2:30:00,10750,1203689,528689,35575.65,36316.4,35519.25,35802.5,0,-0.015550738,780669.3476
10/03/21,10,30.2,149510,3:25:00,41800,1245489,570489,36112.25,36176.9,35764.35,35938.3,0,0.003793031,783630.4508
17/03/21,10,34.6,203050,3:25:00,2610,1248099,573099,34905.05,35100.5,34126.85,34229.25,0,-0.047555115,746364.8144
25/03/21,10,31,228125,2:30:00,19580,1267679,592679,33420.75,33550.15,32415.25,33006.45,0,-0.035723833,719701.8026
31/03/21,10,29.4,149030,3:25:00,26500,1294179,619179,33764.8,33773.1,33151.8,33303.9,0,0.009011875,726187.6653
31/03/21,10,29.4,149030,3:25:00,26500,1320679,645679,33764.8,33773.1,33151.8,33303.9,0,0,726187.6653
01/04/21,10,29.4,190535,2:30:00,-19400,1301279,626279,33588,33949.15,33208.75,33858,0,0.016637691,738269.7513
07/04/21,10,33.7,127325,3:25:00,4200,1305479,630479,32529.7,33191.7,32141.55,32991.2,0,-0.02560104,719369.2782
08/04/21,10,30.3,160325,2:30:00,10570,1316049,641049,33154.2,33306.8,32704.75,32782.85,0,-0.00631532,714826.2307
15/04/21,10,33.6,132750,11:00:00,-39800,1276249,601249,31929.1,32187.05,31406.4,32112.85,0,-0.020437515,700216.9586
21/04/21,10,37,230350,3:25:00,5180,1281429,606429,,,,,,0,700216.9586
22/04/21,10,37,229950,2:30:00,6950,1288379,613379,30763.5,31834.5,30555.25,31782.6,0,-0.010284045,693015.8958
28/04/21,10,34.5,201425,3:25:00,-10100,1278279,603279,32865.5,33777.7,32840.3,33722.8,0,0.061045981,735321.7311
29/04/21,10,33.7,227900,2:30:00,-67300,1210979,535979,33901.6,34287,33304.6,33714.5,0,-0.000246124,735140.7505
05/05/21,10,35.1,148635,3:25:00,11050,1222029,547029,32577.1,32862.15,32068.55,32783.7,0,-0.027608299,714844.7648
06/05/21,10,33.1,174188,2:30:00,38780,1260809,585809,32900.75,32956.35,32564,32827.8,0,0.001345181,715806.3602
11/05/21,10,27.8,129060,3:15:00,39400,1300209,625209,32640.95,33154.3,32611.7,32872.2,0,0.001352512,716774.497
19/05/21,10,28.6,183500,3:25:00,16500,1316709,641709,33717.1,33959.3,33608.25,33685.2,0,0.024732144,734501.8674
20/05/21,10,29.3,217575,2:30:00,-5400,1311309,636309,33692.55,33833.7,33273.95,33334.55,0,-0.010409616,726855.985
20/05/21,10,29.3,217575,2:30:00,-5400,1305909,630909,33692.55,33833.7,33273.95,33334.55,0,0,726855.985
26/05/21,10,29.4,176900,3:25:00,18700,1324609,649609,34757.15,34897.95,34462.5,34684.2,0,0.040488022,756284.9462
27/05/21,10,44,207500,2:30:00,10325,1334934,659934,34664.2,35220.8,34529.7,35095.05,0,0.011845451,765243.4827
02/06/21,10,26.2,135950,3:25:00,-3100,1331834,656834,35271.6,35415.85,35070.3,35373.75,0,0.007941291,771320.5038
03/06/21,10,24.2,145125,2:30:00,15100,1346934,671934,35536.45,35723.7,35413,35649,0,0.007781194,777322.298
09/06/21,10,23.1,86280,3:25:00,10230,1357164,682164,35114.25,35402.45,34641.2,34800.5,0,-0.023801509,758820.8542
09/06/21,10,23.1,86280,3:25:00,10230,1367394,692394,35114.25,35402.45,34641.2,34800.5,0,0,758820.8542
10/06/21,10,24,101500,2:30:00,-775,1366619,691619,34903.6,35165.65,34734.4,35131.2,0,0.009502737,766031.7292
23/06/21,10,20.7,136840,3:25:00,7900,1374519,699519,34911.85,34937.65,34525.45,34574,0,-0.015860546,753882.048
30/06/21,10,19.4,106125,3:25:00,350,1374869,699869,35001.9,35214.9,34730.45,34772.2,0,0.005732631,758203.776
01/07/21,10,19.3,133350,2:30:00,13780,1388649,713649,34866,34917.65,34650.95,34684,0,-0.002536509,756280.5852
07/07/21,10,18.3,82100,3:25:00,10550,1399199,724199,35550.6,35795.75,35427.65,35771.3,0,0.031348749,779989.0353
08/07/21,10,18.3,97600,2:30:00,-32280,1366919,691919,35603.25,35811,35134.65,35274.1,0,-0.013899411,769147.6471
14/07/21,10,18.6,64420,3:25:00,7510,1374429,699429,35585.85,35804.05,35434.75,35668.25,0,0.011173921,777742.042
15/07/21,10,18.8,70375,2:30:00,4725,1379154,704154,35757.45,35985.25,35625.7,35907.65,0,0.006711852,782962.1311
22/07/21,10,21.6,146625,2:30:00,4175,1383329,708329,34774.55,34989.1,34557.85,34677.3,0,-0.034264286,756134.4925
28/07/21,10,20.2,120455,3:25:00,8575,1391904,716904,34839.45,34841.55,34115.2,34532.9,0,-0.004164107,752985.8673
29/07/21,10,19.4,136425,2:30:00,9430,1401334,726334,34740.3,34778.15,34495.2,34691.5,0,0.004592722,756444.1219
29/07/21,10,19.4,136425,2:30:00,9430,1410764,735764,34740.3,34778.15,34495.2,34691.5,0,0,756444.1219
04/08/21,10,18.2,86950,3:25:00,-4130,1406634,731634,35388.15,36219.8,35313,36028.05,0,0.038526728,785587.4391
05/08/21,10,19,102750,2:30:00,17850,1424484,749484,36093.95,36115.45,35661.3,35834.75,0,-0.005365264,781372.5551
11/08/21,10,18.9,57320,10:25:00,-19200,1405284,730284,36218.25,36227.55,35531.35,35806.4,0,-0.000791132,780754.3867
12/08/21,10,18.6,72500,2:30:00,19565,1424849,749849,35825.4,35998.15,35702.9,35937.05,0,0.003648789,783603.1947
